,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,hashtag,Users
114,2022-09-28 20:29:47+00:00,https://twitter.com/Tochi_Melody_TM/status/1575221251408527360,Tochi_Melody_TM,Instagram,west Africa,"""the shortest pen is better than a longest memory"" by @williamsuchemba

I really learnt allot today
#txesummitenugu
#txesummit2022 @ Golden Heart Conference Centre https://t.co/0GBZUyBARI",1,1,0,0,@,@Tochi_Melody_TM
115,2022-09-28 20:23:00+00:00,https://twitter.com/Tochi_Melody_TM/status/1575219547572928525,Tochi_Melody_TM,Instagram,west Africa,"""the shortest pen is better than a longest memory"" by @williamsuchemba 

I really learnt allot today
#txesummitenugu 
#txesummit2022 @ Golden Heart Conference Centre https://t.co/tTbsG5YBUE",0,0,0,0,@,@Tochi_Melody_TM
116,2022-09-28 20:21:30+00:00,https://twitter.com/iamogechim/status/1575219167321530368,iamogechim,Twitter for Android,,"TXE submit Enugu

It was nice to finally meet @MrChucho_ in person. 

#TxESummit2022 #TxESummitEnugu https://t.co/QgCLCb70IU",30,2,1,1,@,@iamogechim
117,2022-09-28 20:18:09+00:00,https://twitter.com/ebuka_nwaudah/status/1575218324593868800,ebuka_nwaudah,Twitter for iPhone,"Enugu, Nigeria","I appreciate @williamsuchemba for putting together such wonderful event #TxESummit2022 the first of its kind here in Enugu. The turnout was massive, the guest speakers were very inspiring, I’m glad I was there live.

#TxESummitEnugu https://t.co/t8sVQHkhok",6,0,0,0,@,@ebuka_nwaudah
118,2022-09-28 20:07:27+00:00,https://twitter.com/iamogechim/status/1575215634425827328,iamogechim,Twitter for Android,,"6th speaker: Ugochukwu Aronu @AronuUgochukwu 
(co-founder/CEO Xend, Wicrypt, ogwugo)

Topic: HOW TO THRIVE AS AN ENTREPRENEUR IN NIGERIA
📌live a live of sacrifice
📌Be patient

A Thread👇

#TxESummitEnugu
#TxESummit2022 #TxEsummitEnugu2022 #TxESummit https://t.co/Cq1hnxehsw",5,1,0,1,@,@iamogechim
119,2022-09-28 20:05:17+00:00,https://twitter.com/Wilchapo/status/1575215089007079424,Wilchapo,Twitter for Android,,"Where we at??
#TxESummit2022 https://t.co/OERq3ROKjg",0,0,0,0,@,@Wilchapo
120,2022-09-28 20:00:20+00:00,https://twitter.com/victordigitalx/status/1575213843009126402,victordigitalx,Twitter for Android,,#TxEsummit2022 https://t.co/bAgHRTTYdT,2,0,0,0,@,@victordigitalx
121,2022-09-28 19:58:19+00:00,https://twitter.com/AngelaRialuchi/status/1575213333355044864,AngelaRialuchi,Twitter for Android,"Enugu, Nigeria",#TxESummit2022 God bless sir Williams Uchemba and all that participated in tech summit,0,0,0,0,@,@AngelaRialuchi
122,2022-09-28 19:56:20+00:00,https://twitter.com/brahmspiak/status/1575212834627391490,brahmspiak,Twitter for Android,everywhere ,"It was heartwarming listening to you at #TxESummitEnugu
@AronuUgochukwu  👌",2,0,0,1,@,@brahmspiak
123,2022-09-28 19:54:56+00:00,https://twitter.com/Viva4u/status/1575212484197171200,Viva4u,Twitter for iPhone,Nigeria,"#TxEsummitenugu 
#TxEsummit2022 https://t.co/c3aiPWmOux",2,0,0,0,@,@Viva4u
